,Name,API_Name,Instance_Memory,vCPUs,Instance_Storage,Network_Performance,On_Demand,Linux_Reserved_cost,Linux_Spot_Minimum_cost,Windows_On_Demand_cost,Windows_Reserved_cost
173,M6IN Extra Large,m6in.xlarge,16,4,EBS only,Up to 30 Gigabit,0.2785,$0.1754 hourly,$0.1395 hourly,$0.4625 hourly,$0.3594 hourly
174,R5D Extra Large,r5d.xlarge,32,4,150 GB                 NVMe SSD,Up to 10 Gigabit,0.288,$0.1810 hourly,$0.1570 hourly,$0.4720 hourly,$0.3650 hourly
175,IS4GEN Large,is4gen.large,12,2,1875 GB                 NVMe SSD,Up to 25 Gigabit,0.2882,$0.1965 hourly,$0.1350 hourly,,
176,C7G Double Extra Large,c7g.2xlarge,16,8,EBS only,Up to 15 Gigabit,0.29,$0.1911 hourly,$0.1223 hourly,,
177,R5N Extra Large,r5n.xlarge,32,4,EBS only,Up to 25 Gigabit,0.298,$0.1880 hourly,$0.1508 hourly,$0.4820 hourly,$0.3720 hourly
178,R5B Extra Large,r5b.xlarge,32,4,EBS only,Up to 10 Gigabit,0.298,$0.1877 hourly,$0.1500 hourly,$0.4820 hourly,$0.3717 hourly
179,T3A Double Extra Large,t3a.2xlarge,32,8,EBS only,Up to 5 Gigabit,0.3008,$0.1886 hourly,$0.1509 hourly,$0.4480 hourly,$0.3358 hourly
180,R6ID Extra Large,r6id.xlarge,32,4,237 GB                 NVMe SSD,Up to 12.5 Gigabit,0.3024,$0.1900 hourly,$0.1313 hourly,$0.4864 hourly,$0.3740 hourly
181,R7A Extra Large,r7a.xlarge,32,4,EBS only,Up to 12.5 Gigabit,0.3043,$0.2013 hourly,$0.1419 hourly,$0.4883 hourly,$0.3853 hourly
182,C6A Double Extra Large,c6a.2xlarge,16,8,EBS only,Up to 12.5 Gigabit,0.306,$0.2024 hourly,$0.1508 hourly,$0.6740 hourly,$0.5704 hourly
183,C6GD Double Extra Large,c6gd.2xlarge,16,8,474 GB                 NVMe SSD,Up to 10 Gigabit,0.3072,$0.1935 hourly,$0.1338 hourly,,
184,M6G Double Extra Large,m6g.2xlarge,32,8,EBS only,Up to 10 Gigabit,0.308,$0.1932 hourly,$0.1378 hourly,,
185,C5A Double Extra Large,c5a.2xlarge,16,8,EBS only,Up to 10 Gigabit,0.308,$0.1940 hourly,$0.1628 hourly,$0.6760 hourly,$0.5620 hourly
186,I4G Extra Large,i4g.xlarge,32,4,937 GB                 NVMe SSD,Up to 10 Gigabit,0.3089,$0.2004 hourly,$0.1276 hourly,,
187,I3 High I/O Extra Large,i3.xlarge,30.5,4,950 GB                 NVMe SSD,Up to 10 Gigabit,0.312,$0.2140 hourly,$0.1500 hourly,$0.4960 hourly,$0.3980 hourly
188,M6IDN Extra Large,m6idn.xlarge,16,4,237 GB                 NVMe SSD,Up to 30 Gigabit,0.3182,$0.2005 hourly,$0.1470 hourly,$0.5022 hourly,$0.3845 hourly
189,M7G Double Extra Large,m7g.2xlarge,32,8,EBS only,Up to 15 Gigabit,0.3264,$0.2159 hourly,$0.1445 hourly,,
190,M5ZN Extra Large,m5zn.xlarge,16,4,EBS only,Up to 25 Gigabit,0.3303,$0.2081 hourly,$0.1659 hourly,$0.5143 hourly,$0.3921 hourly
191,T3 Double Extra Large,t3.2xlarge,32,8,EBS only,Up to 5 Gigabit,0.3328,$0.2086 hourly,$0.1375 hourly,$0.4800 hourly,$0.3558 hourly
192,R3 High-Memory Extra Large,r3.xlarge,30.5,4,80 GB                 SSD,Moderate,0.333,$0.2090 hourly,$0.1378 hourly,$0.5830 hourly,$0.4280 hourly
193,R5DN Extra Large,r5dn.xlarge,32,4,150 GB                 NVMe SSD,Up to 25 Gigabit,0.334,$0.2100 hourly,$0.1415 hourly,$0.5180 hourly,$0.3940 hourly
194,X2GD Extra Large,x2gd.xlarge,64,4,237 GB                 NVMe SSD,Up to 10 Gigabit,0.334,$0.2058 hourly,$0.1389 hourly,,
195,C5 High-CPU Double Extra Large,c5.2xlarge,16,8,EBS only,Up to 10 Gigabit,0.34,$0.2140 hourly,$0.1607 hourly,$0.7080 hourly,$0.5820 hourly
196,C6I Double Extra Large,c6i.2xlarge,16,8,EBS only,Up to 12.5 Gigabit,0.34,$0.2249 hourly,$0.1560 hourly,$0.7080 hourly,$0.5929 hourly
197,I4I Extra Large,i4i.xlarge,32,4,937 GB                 NVMe SSD,Up to 10 Gigabit,0.343,$0.2230 hourly,$0.1695 hourly,$0.5270 hourly,$0.4070 hourly
198,C5AD Double Extra Large,c5ad.2xlarge,16,8,300 GB                 NVMe SSD,Up to 10 Gigabit,0.344,$0.2170 hourly,$0.1657 hourly,$0.7120 hourly,$0.5850 hourly
199,M5A Double Extra Large,m5a.2xlarge,32,8,EBS only,Up to 10 Gigabit,0.344,$0.2170 hourly,$0.1781 hourly,$0.7120 hourly,$0.5850 hourly
200,M6A Double Extra Large,m6a.2xlarge,32,8,EBS only,Up to 12.5 Gigabit,0.3456,$0.2286 hourly,$0.1813 hourly,$0.7136 hourly,$0.5966 hourly
201,C6GN Double Extra Large,c6gn.2xlarge,16,8,EBS only,Up to 25 Gigabit,0.3456,$0.2181 hourly,$0.1441 hourly,,
202,R6IN Extra Large,r6in.xlarge,32,4,EBS only,Up to 30 Gigabit,0.3487,$0.2197 hourly,$0.1543 hourly,$0.5327 hourly,$0.4037 hourly
203,M1 General Purpose Extra Large,m1.xlarge,15,4,1680 GB                 (4 * 420 GB HDD),High,0.35,$0.2240 hourly,$0.1410 hourly,$0.5980 hourly,$0.4650 hourly
204,C7I Double Extra Large,c7i.2xlarge,16,8,EBS only,Up to 12.5 Gigabit,0.357,$0.2362 hourly,$0.1680 hourly,$0.7250 hourly,$0.6042 hourly
205,M6GD Double Extra Large,m6gd.2xlarge,32,8,474 GB                 NVMe SSD,Up to 10 Gigabit,0.3616,$0.2278 hourly,$0.1588 hourly,,
206,INF1 Double Extra Large,inf1.2xlarge,16,8,EBS only,Up to 25 Gigabit,0.362,$0.2280 hourly,$0.1667 hourly,,
207,C7GD Double Extra Large,c7gd.2xlarge,16,8,474 GB                 NVMe SSD,Up to 15 Gigabit,0.3629,$0.2287 hourly,$0.1577 hourly,,
208,IM4GN Extra Large,im4gn.xlarge,16,4,1875 GB                 NVMe SSD,Up to 25 Gigabit,0.3638,$0.2333 hourly,$0.1466 hourly,,
209,T2 Double Extra Large,t2.2xlarge,32,8,EBS only,Moderate,0.3712,$0.2300 hourly,$0.1591 hourly,$0.4332 hourly,$0.2920 hourly
210,R7IZ Extra Large,r7iz.xlarge,32,4,EBS only,Up to 12.5 Gigabit,0.372,$0.2344 hourly,$0.1511 hourly,$0.5560 hourly,$0.4184 hourly
211,Z1D Extra Large,z1d.xlarge,32,4,150 GB                 NVMe SSD,Up to 10 Gigabit,0.372,$0.2340 hourly,$0.1600 hourly,$0.5560 hourly,$0.4180 hourly
212,G4AD Extra Large,g4ad.xlarge,16,4,150 GB                 NVMe SSD,Up to 10 Gigabit,0.3785,$0.2385 hourly,$0.1694 hourly,$0.5625 hourly,$0.4225 hourly
213,M7I-FLEX Double Extra Large,m7i-flex.2xlarge,32,8,EBS only,Up to 12.5 Gigabit,0.383,$0.2534 hourly,$0.2003 hourly,$0.7326 hourly,$0.6030 hourly
214,M6I Double Extra Large,m6i.2xlarge,32,8,EBS only,Up to 12.5 Gigabit,0.384,$0.2540 hourly,$0.1724 hourly,$0.7520 hourly,$0.6220 hourly
215,C5 High-CPU Double Extra Large,c5d.2xlarge,16,8,200 GB                 NVMe SSD,Up to 10 Gigabit,0.384,$0.2420 hourly,$0.2037 hourly,$0.7520 hourly,$0.6100 hourly
216,M5 General Purpose Double Extra Large,m5.2xlarge,32,8,EBS only,Up to 10 Gigabit,0.384,$0.2420 hourly,$0.1834 hourly,$0.7520 hourly,$0.6100 hourly
217,R6IDN Extra Large,r6idn.xlarge,32,4,237 GB                 NVMe SSD,Up to 30 Gigabit,0.3908,$0.2462 hourly,$0.1662 hourly,$0.5748 hourly,$0.4302 hourly
218,C4 High-CPU Double Extra Large,c4.2xlarge,15,8,EBS only,High,0.398,$0.2520 hourly,$0.1777 hourly,$0.7660 hourly,$0.6200 hourly
219,M4 General Purpose Double Extra Large,m4.2xlarge,32,8,EBS only,High,0.4,$0.2478 hourly,$0.1882 hourly,$0.7680 hourly,$0.6158 hourly
220,C6ID Double Extra Large,c6id.2xlarge,16,8,474 GB                 NVMe SSD,Up to 12.5 Gigabit,0.4032,$0.2541 hourly,$0.2119 hourly,$0.7712 hourly,$0.6221 hourly
221,M7I Double Extra Large,m7i.2xlarge,32,8,EBS only,Up to 12.5 Gigabit,0.4032,$0.2667 hourly,$0.1870 hourly,$0.7712 hourly,$0.6347 hourly
222,R6G Double Extra Large,r6g.2xlarge,64,8,EBS only,Up to 10 Gigabit,0.4032,$0.2540 hourly,$0.1820 hourly,,
223,A1 Quadruple Extra Large,a1.4xlarge,32,16,EBS only,Up to 10 Gigabit,0.408,$0.2570 hourly,$0.1964 hourly,,
224,A1 Metal,a1.metal,32,16,EBS only,Up to 10 Gigabit,0.408,$0.2570 hourly,$0.1809 hourly,,
225,C7A Double Extra Large,c7a.2xlarge,16,8,EBS only,Up to 12.5 Gigabit,0.4106,$0.2716 hourly,$0.1046 hourly,$0.7786 hourly,$0.6396 hourly
226,M5AD Double Extra Large,m5ad.2xlarge,32,8,300 GB                 NVMe SSD,Up to 10 Gigabit,0.412,$0.2600 hourly,$0.2611 hourly,$0.7800 hourly,$0.6280 hourly
227,C3 High-CPU Double Extra Large,c3.2xlarge,15,8,160 GB                 (2 * 80 GB SSD),High,0.42,$0.2920 hourly,$0.1966 hourly,$0.7520 hourly,$0.6570 hourly
228,G5G Extra Large,g5g.xlarge,8,4,EBS only,Up to 10 Gigabit,0.42,$0.2646 hourly,$0.1823 hourly,,
229,M7GD Double Extra Large,m7gd.2xlarge,32,8,474 GB                 NVMe SSD,Up to 15 Gigabit,0.4271,$0.2691 hourly,$0.1986 hourly,,
230,R7G Double Extra Large,r7g.2xlarge,64,8,EBS only,Up to 15 Gigabit,0.4284,$0.2834 hourly,$0.2082 hourly,,
231,C5N Double Extra Large,c5n.2xlarge,21,8,EBS only,Up to 25 Gigabit,0.432,$0.2720 hourly,$0.2110 hourly,$0.8000 hourly,$0.6400 hourly
232,M5 General Purpose Double Extra Large,m5d.2xlarge,32,8,300 GB                 NVMe SSD,Up to 10 Gigabit,0.452,$0.2850 hourly,$0.2495 hourly,$0.8200 hourly,$0.6530 hourly
233,I3EN Extra Large,i3en.xlarge,32,4,2500 GB                 NVMe SSD,Up to 25 Gigabit,0.452,$0.3080 hourly,$0.2008 hourly,$0.6360 hourly,$0.4920 hourly
234,R5A Double Extra Large,r5a.2xlarge,64,8,EBS only,Up to 10 Gigabit,0.452,$0.2850 hourly,$0.2307 hourly,$0.8200 hourly,$0.6530 hourly
235,C6IN Double Extra Large,c6in.2xlarge,16,8,EBS only,Up to 40 Gigabit,0.4536,$0.2858 hourly,$0.2018 hourly,$0.8216 hourly,$0.6538 hourly
236,R6A Double Extra Large,r6a.2xlarge,64,8,EBS only,Up to 12.5 Gigabit,0.4536,$0.3001 hourly,$0.2224 hourly,$0.8216 hourly,$0.6681 hourly
237,R6GD Double Extra Large,r6gd.2xlarge,64,8,474 GB                 NVMe SSD,Up to 10 Gigabit,0.4608,$0.2903 hourly,$0.2558 hourly,,
238,M7A Double Extra Large,m7a.2xlarge,32,8,EBS only,Up to 12.5 Gigabit,0.4637,$0.3067 hourly,$0.2204 hourly,$0.8317 hourly,$0.6747 hourly
239,H1 Double Extra Large,h1.2xlarge,32,8,2000 GB                 HDD,Up to 10 Gigabit,0.468,$0.3180 hourly,$0.2680 hourly,$0.8360 hourly,$0.6860 hourly
240,M6ID Double Extra Large,m6id.2xlarge,32,8,474 GB                 NVMe SSD,Up to 12.5 Gigabit,0.4746,$0.2990 hourly,$0.2082 hourly,$0.8426 hourly,$0.6670 hourly
241,M5N Double Extra Large,m5n.2xlarge,32,8,EBS only,Up to 25 Gigabit,0.476,$0.3000 hourly,$0.2622 hourly,$0.8440 hourly,$0.6680 hourly
242,M2 High Memory Double Extra Large,m2.2xlarge,34.2,4,850 GB                 HDD,Moderate,0.49,$0.2220 hourly,$0.1814 hourly,$0.6900 hourly,$0.4960 hourly
243,D3 Extra Large,d3.xlarge,32,4,5940 GB                 (3 * 1980 GB NVMe HDD),Up to 15 Gigabit,0.499,$0.3150 hourly,$0.2043 hourly,$0.6830 hourly,$0.4990 hourly
244,C7GN Double Extra Large,c7gn.2xlarge,16,8,EBS only,Up to 50 Gigabit,0.4992,$0.3145 hourly,$0.2053 hourly,,
245,R5 Double Extra Large,r5.2xlarge,64,8,EBS only,Up to 10 Gigabit,0.504,$0.3180 hourly,$0.2577 hourly,$0.8720 hourly,$0.6860 hourly
246,R6I Double Extra Large,r6i.2xlarge,64,8,EBS only,Up to 12.5 Gigabit,0.504,$0.3334 hourly,$0.2579 hourly,$0.8720 hourly,$0.7014 hourly
247,C1 High-CPU Extra Large,c1.xlarge,7,8,1680 GB                 (4 * 420 GB HDD),High,0.52,$0.3640 hourly,$0.2167 hourly,$0.8400 hourly,$0.7190 hourly
248,R5AD Double Extra Large,r5ad.2xlarge,64,8,300 GB                 NVMe SSD,Up to 10 Gigabit,0.524,$0.3300 hourly,$0.2936 hourly,$0.8920 hourly,$0.6980 hourly
249,G4DN Extra Large,g4dn.xlarge,16,4,125 GB                 NVMe SSD,Up to 25 Gigabit,0.526,$0.3310 hourly,$0.2263 hourly,$0.7100 hourly,$0.5150 hourly
250,D3EN Extra Large,d3en.xlarge,16,4,27960 GB                 (2 * 13980 GB NVMe HDD),Up to 25 Gigabit,0.526,$0.3310 hourly,$0.2140 hourly,$0.7100 hourly,$0.5150 hourly
251,R7I Double Extra Large,r7i.2xlarge,64,8,EBS only,Up to 12.5 Gigabit,0.5292,$0.3501 hourly,$0.2604 hourly,$0.8972 hourly,$0.7181 hourly
252,R4 High-Memory Double Extra Large,r4.2xlarge,61,8,EBS only,Up to 10 Gigabit,0.532,$0.3360 hourly,$0.2381 hourly,$0.9000 hourly,$0.7040 hourly
253,M3 General Purpose Double Extra Large,m3.2xlarge,30,8,160 GB                 (2 * 80 GB SSD),High,0.532,$0.3800 hourly,$0.2433 hourly,$1.0360 hourly,$0.7930 hourly
254,G4AD Double Extra Large,g4ad.2xlarge,32,8,300 GB                 NVMe SSD,Up to 10 Gigabit,0.5412,$0.3409 hourly,$0.2739 hourly,$0.9092 hourly,$0.7089 hourly
255,M5DN Double Extra Large,m5dn.2xlarge,32,8,300 GB                 NVMe SSD,Up to 25 Gigabit,0.544,$0.3430 hourly,$0.2837 hourly,$0.9120 hourly,$0.7110 hourly
256,C6G Quadruple Extra Large,c6g.4xlarge,32,16,EBS only,Up to 10 Gigabit,0.544,$0.3427 hourly,$0.2289 hourly,,
257,R7GD Double Extra Large,r7gd.2xlarge,64,8,474 GB                 NVMe SSD,Up to 15 Gigabit,0.5443,$0.3421 hourly,$0.2430 hourly,,
258,G5G Double Extra Large,g5g.2xlarge,16,8,EBS only,Up to 10 Gigabit,0.556,$0.3503 hourly,$0.2757 hourly,,
259,M6IN Double Extra Large,m6in.2xlarge,32,8,EBS only,Up to 40 Gigabit,0.5569,$0.3509 hourly,$0.2743 hourly,$0.9249 hourly,$0.7189 hourly
260,R5D Double Extra Large,r5d.2xlarge,64,8,300 GB                 NVMe SSD,Up to 10 Gigabit,0.576,$0.3630 hourly,$0.3393 hourly,$0.9440 hourly,$0.7310 hourly
261,IS4GEN Extra Large,is4gen.xlarge,24,4,3750 GB                 NVMe SSD,Up to 25 Gigabit,0.5763,$0.3931 hourly,$0.2736 hourly,,
262,C7G Quadruple Extra Large,c7g.4xlarge,32,16,EBS only,Up to 15 Gigabit,0.58,$0.3822 hourly,$0.2542 hourly,,
263,R5B Double Extra Large,r5b.2xlarge,64,8,EBS only,Up to 10 Gigabit,0.596,$0.3755 hourly,$0.3436 hourly,$0.9640 hourly,$0.7435 hourly
264,R5N Double Extra Large,r5n.2xlarge,64,8,EBS only,Up to 25 Gigabit,0.596,$0.3750 hourly,$0.3003 hourly,$0.9640 hourly,$0.7430 hourly
265,R6ID Double Extra Large,r6id.2xlarge,64,8,474 GB                 NVMe SSD,Up to 12.5 Gigabit,0.6048,$0.3801 hourly,$0.2980 hourly,$0.9728 hourly,$0.7481 hourly
266,R7A Double Extra Large,r7a.2xlarge,64,8,EBS only,Up to 12.5 Gigabit,0.6086,$0.4026 hourly,$0.3057 hourly,$0.9766 hourly,$0.7706 hourly
267,C6A Quadruple Extra Large,c6a.4xlarge,32,16,EBS only,Up to 12.5 Gigabit,0.612,$0.4048 hourly,$0.3187 hourly,$1.3480 hourly,$1.1408 hourly
268,C6GD Quadruple Extra Large,c6gd.4xlarge,32,16,950 GB                 NVMe SSD,Up to 10 Gigabit,0.6144,$0.3871 hourly,$0.2903 hourly,,
269,M6G Quadruple Extra Large,m6g.4xlarge,64,16,EBS only,Up to 10 Gigabit,0.616,$0.3864 hourly,$0.2828 hourly,,
270,C5A Quadruple Extra Large,c5a.4xlarge,32,16,EBS only,Up to 10 Gigabit,0.616,$0.3880 hourly,$0.3216 hourly,$1.3520 hourly,$1.1240 hourly
271,I4G Double Extra Large,i4g.2xlarge,64,8,1875 GB                 NVMe SSD,Up to 12 Gigabit,0.6178,$0.4009 hourly,$0.2692 hourly,,
272,I3 High I/O Double Extra Large,i3.2xlarge,61,8,1900 GB                 NVMe SSD,Up to 10 Gigabit,0.624,$0.4280 hourly,$0.3039 hourly,$0.9920 hourly,$0.7960 hourly
273,M6IDN Double Extra Large,m6idn.2xlarge,32,8,474 GB                 NVMe SSD,Up to 40 Gigabit,0.6365,$0.4010 hourly,$0.3036 hourly,$1.0045 hourly,$0.7690 hourly
274,G2 Double Extra Large,g2.2xlarge,15,8,EBS only,Moderate,0.65,,,$0.7670 hourly,
275,VT1 3xlarge,vt1.3xlarge,24,12,EBS only,3.12 Gigabit,0.65,$0.4095 hourly,$0.3255 hourly,,
276,M7G Quadruple Extra Large,m7g.4xlarge,64,16,EBS only,Up to 15 Gigabit,0.6528,$0.4318 hourly,$0.2959 hourly,,
277,M5ZN Double Extra Large,m5zn.2xlarge,32,8,EBS only,Up to 25 Gigabit,0.6607,$0.4162 hourly,$0.3540 hourly,$1.0287 hourly,$0.7842 hourly
278,R3 High-Memory Double Extra Large,r3.2xlarge,61,8,160 GB                 SSD,High,0.665,$0.4180 hourly,$0.3095 hourly,$1.0450 hourly,$0.8240 hourly
279,R5DN Double Extra Large,r5dn.2xlarge,64,8,300 GB                 NVMe SSD,Up to 25 Gigabit,0.668,$0.4210 hourly,$0.3343 hourly,$1.0360 hourly,$0.7890 hourly
280,X2GD Double Extra Large,x2gd.2xlarge,128,8,475 GB                 NVMe SSD,Up to 10 Gigabit,0.668,$0.4117 hourly,$0.3519 hourly,,
281,C5 High-CPU Quadruple Extra Large,c5.4xlarge,32,16,EBS only,Up to 10 Gigabit,0.68,$0.4280 hourly,$0.3094 hourly,$1.4160 hourly,$1.1640 hourly
282,C6I Quadruple Extra Large,c6i.4xlarge,32,16,EBS only,Up to 12.5 Gigabit,0.68,$0.4498 hourly,$0.3405 hourly,$1.4160 hourly,$1.1858 hourly
283,I4I Double Extra Large,i4i.2xlarge,64,8,1875 GB                 NVMe SSD,Up to 12 Gigabit,0.686,$0.4450 hourly,$0.3634 hourly,$1.0540 hourly,$0.8130 hourly
284,C5AD Quadruple Extra Large,c5ad.4xlarge,32,16,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,0.688,$0.4330 hourly,$0.3267 hourly,$1.4240 hourly,$1.1690 hourly
285,M5A Quadruple Extra Large,m5a.4xlarge,64,16,EBS only,Up to 10 Gigabit,0.688,$0.4330 hourly,$0.3363 hourly,$1.4240 hourly,$1.1690 hourly
286,D2 Extra Large,d2.xlarge,30.5,4,6144 GB                 (3 * 2048 GB HDD),Moderate,0.69,$0.4020 hourly,$0.2679 hourly,$0.8210 hourly,$0.4720 hourly
287,C6GN Quadruple Extra Large,c6gn.4xlarge,32,16,EBS only,25 Gigabit,0.6912,$0.4363 hourly,$0.3224 hourly,,
288,M6A Quadruple Extra Large,m6a.4xlarge,64,16,EBS only,Up to 12.5 Gigabit,0.6912,$0.4572 hourly,$0.3342 hourly,$1.4272 hourly,$1.1932 hourly
289,R6IN Double Extra Large,r6in.2xlarge,64,8,EBS only,Up to 40 Gigabit,0.6973,$0.4393 hourly,$0.3382 hourly,$1.0653 hourly,$0.8073 hourly
290,C7I Quadruple Extra Large,c7i.4xlarge,32,16,EBS only,Up to 12.5 Gigabit,0.714,$0.4723 hourly,$0.3290 hourly,$1.4500 hourly,$1.2083 hourly
291,M6GD Quadruple Extra Large,m6gd.4xlarge,64,16,950 GB                 NVMe SSD,Up to 10 Gigabit,0.7232,$0.4556 hourly,$0.3526 hourly,,
292,C7GD Quadruple Extra Large,c7gd.4xlarge,32,16,950 GB                 NVMe SSD,Up to 15 Gigabit,0.7258,$0.4574 hourly,$0.3128 hourly,,
293,IM4GN Double Extra Large,im4gn.2xlarge,32,8,3750 GB                 NVMe SSD,Up to 25 Gigabit,0.7276,$0.4666 hourly,$0.3121 hourly,,
294,Z1D Double Extra Large,z1d.2xlarge,64,8,300 GB                 NVMe SSD,Up to 10 Gigabit,0.744,$0.4690 hourly,$0.3295 hourly,$1.1120 hourly,$0.8370 hourly
295,R7IZ Double Extra Large,r7iz.2xlarge,64,8,EBS only,Up to 12.5 Gigabit,0.744,$0.4687 hourly,$0.3540 hourly,$1.1120 hourly,$0.8367 hourly
296,G3S Extra Large,g3s.xlarge,30.5,4,EBS only,Up to 10 Gigabit,0.75,$0.5510 hourly,$0.4007 hourly,$0.9340 hourly,$0.7350 hourly
297,G4DN Double Extra Large,g4dn.2xlarge,32,8,225 GB                 NVMe SSD,Up to 25 Gigabit,0.752,$0.4740 hourly,$0.3240 hourly,$1.1200 hourly,$0.8420 hourly
298,INF2 Extra Large,inf2.xlarge,16,4,EBS only,Up to 15 Gigabit,0.7582,$0.4777 hourly,$0.3385 hourly,,
299,M7I-FLEX Quadruple Extra Large,m7i-flex.4xlarge,64,16,EBS only,Up to 12.5 Gigabit,0.7661,$0.5067 hourly,$0.3681 hourly,$1.4653 hourly,$1.2059 hourly
300,M5 General Purpose Quadruple Extra Large,m5.4xlarge,64,16,EBS only,Up to 10 Gigabit,0.768,$0.4840 hourly,$0.3501 hourly,$1.5040 hourly,$1.2200 hourly
301,C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32,16,400 GB                 NVMe SSD,Up to 10 Gigabit,0.768,$0.4840 hourly,$0.3624 hourly,$1.5040 hourly,$1.2200 hourly
302,M6I Quadruple Extra Large,m6i.4xlarge,64,16,EBS only,Up to 12.5 Gigabit,0.768,$0.5080 hourly,$0.3295 hourly,$1.5040 hourly,$1.2440 hourly
303,R6IDN Double Extra Large,r6idn.2xlarge,64,8,474 GB                 NVMe SSD,Up to 40 Gigabit,0.7816,$0.4924 hourly,$0.4125 hourly,$1.1496 hourly,$0.8604 hourly
304,C4 High-CPU Quadruple Extra Large,c4.4xlarge,30,16,EBS only,High,0.796,$0.5040 hourly,$0.3515 hourly,$1.5320 hourly,$1.2400 hourly
305,M4 General Purpose Quadruple Extra Large,m4.4xlarge,64,16,EBS only,High,0.8,$0.4956 hourly,$0.3716 hourly,$1.5360 hourly,$1.2316 hourly
306,G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,16,4,250 GB                 NVMe SSD,Up to 10 Gigabit,0.8048,$0.5239 hourly,$0.1288 hourly,$0.9888 hourly,$0.7079 hourly
307,C6ID Quadruple Extra Large,c6id.4xlarge,32,16,950 GB                 NVMe SSD,Up to 12.5 Gigabit,0.8064,$0.5082 hourly,$0.3572 hourly,$1.5424 hourly,$1.2442 hourly
308,M7I Quadruple Extra Large,m7i.4xlarge,64,16,EBS only,Up to 12.5 Gigabit,0.8064,$0.5334 hourly,$0.4112 hourly,$1.5424 hourly,$1.2694 hourly
309,R6G Quadruple Extra Large,r6g.4xlarge,128,16,EBS only,Up to 10 Gigabit,0.8064,$0.5080 hourly,$0.3363 hourly,,
310,C7A Quadruple Extra Large,c7a.4xlarge,32,16,EBS only,Up to 12.5 Gigabit,0.8211,$0.5432 hourly,$0.2146 hourly,$1.5571 hourly,$1.2792 hourly
311,M5AD Quadruple Extra Large,m5ad.4xlarge,64,16,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,0.824,$0.5190 hourly,$0.3803 hourly,$1.5600 hourly,$1.2550 hourly
312,G5G Quadruple Extra Large,g5g.4xlarge,32,16,EBS only,Up to 10 Gigabit,0.828,$0.5216 hourly,$0.3509 hourly,,
313,X2IEDN Extra Large,x2iedn.xlarge,128,4,118 GB                 NVMe SSD,Up to 25 Gigabit,0.8336,$0.5129 hourly,$0.3332 hourly,$1.0176 hourly,$0.6969 hourly
314,X1E Extra Large,x1e.xlarge,122,4,120 GB                 SSD,Up to 10 Gigabit,0.834,$0.5140 hourly,$0.3137 hourly,$1.0180 hourly,$0.6980 hourly
315,C3 High-CPU Quadruple Extra Large,c3.4xlarge,30,16,320 GB                 (2 * 160 GB SSD),High,0.84,$0.5840 hourly,$0.3663 hourly,$1.5040 hourly,$1.3170 hourly
316,I2 Extra Large,i2.xlarge,30.5,4,800 GB                 SSD,Moderate,0.853,$0.4240 hourly,$0.3330 hourly,$0.9730 hourly,$0.5650 hourly
317,M7GD Quadruple Extra Large,m7gd.4xlarge,64,16,950 GB                 NVMe SSD,Up to 15 Gigabit,0.8543,$0.5382 hourly,$0.3974 hourly,,
318,R7G Quadruple Extra Large,r7g.4xlarge,128,16,EBS only,Up to 15 Gigabit,0.8568,$0.5668 hourly,$0.3962 hourly,,
319,C5N Quadruple Extra Large,c5n.4xlarge,42,16,EBS only,Up to 25 Gigabit,0.864,$0.5440 hourly,$0.4028 hourly,$1.6000 hourly,$1.2800 hourly
320,G4AD Quadruple Extra Large,g4ad.4xlarge,64,16,600 GB                 NVMe SSD,Up to 10 Gigabit,0.867,$0.5462 hourly,$0.4215 hourly,$1.6030 hourly,$1.2822 hourly
321,P2 General Purpose GPU Extra Large,p2.xlarge,61,4,EBS only,High,0.9,$0.6140 hourly,$0.4268 hourly,$1.0840 hourly,$0.7980 hourly
322,I3EN Double Extra Large,i3en.2xlarge,64,8,5000 GB                 (2 * 2500 GB NVMe SSD),Up to 25 Gigabit,0.904,$0.6160 hourly,$0.3846 hourly,$1.2720 hourly,$0.9840 hourly
323,R5A Quadruple Extra Large,r5a.4xlarge,128,16,EBS only,Up to 10 Gigabit,0.904,$0.5700 hourly,$0.4146 hourly,$1.6400 hourly,$1.3060 hourly
324,M5 General Purpose Quadruple Extra Large,m5d.4xlarge,64,16,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,0.904,$0.5700 hourly,$0.4575 hourly,$1.6400 hourly,$1.3060 hourly
325,R6A Quadruple Extra Large,r6a.4xlarge,128,16,EBS only,Up to 12.5 Gigabit,0.9072,$0.6001 hourly,$0.4010 hourly,$1.6432 hourly,$1.3361 hourly
326,C6IN Quadruple Extra Large,c6in.4xlarge,32,16,EBS only,Up to 50 Gigabit,0.9072,$0.5715 hourly,$0.3952 hourly,$1.6432 hourly,$1.3075 hourly
327,R6GD Quadruple Extra Large,r6gd.4xlarge,128,16,950 GB                 NVMe SSD,Up to 10 Gigabit,0.9216,$0.5806 hourly,$0.3931 hourly,,
328,M7A Quadruple Extra Large,m7a.4xlarge,64,16,EBS only,Up to 12.5 Gigabit,0.9274,$0.6135 hourly,$0.4193 hourly,$1.6634 hourly,$1.3495 hourly
